,Open,High,Low,Close,Volume
2015-05-11,31.8725,31.9,31.405,31.585,1433852
2015-05-12,31.505,31.72,31.205,31.51,1752700
2015-05-13,31.625,31.7975,31.4675,31.4975,1204208
2015-05-14,29.0,32.24,29.0,32.235,1623592
2015-05-15,32.22,32.4,32.0525,32.195,1358964
2015-05-18,32.2125,32.68,32.05,32.565,1880448
2015-05-19,32.7175,32.7225,32.41,32.5175,1586468
2015-05-20,32.565,32.745,32.335,32.445,1344384
2015-05-21,32.3975,32.9625,32.3975,32.945,1399136
2015-05-22,32.87,33.2425,32.85,33.1925,1676952
2015-05-26,33.125,33.2275,32.28,32.4375,2432196
2015-05-27,32.475,33.065,32.445,32.975,1699072
2015-05-28,33.25,33.25,32.77,32.97,1111712
2015-05-29,32.8,32.97,32.475,32.6275,1781289
2015-06-01,32.5,32.86,32.5,32.6725,1157904
2015-06-02,32.6175,32.665,32.33,32.505,1260113
2015-06-03,32.52,32.735,32.475,32.545,1152787
2015-06-04,32.515,32.645,32.2275,32.335,1445243
2015-06-05,32.4225,32.445,32.09,32.155,1330404
2015-06-08,32.25,32.3025,31.7075,31.945,1993366
2015-06-09,32.025,32.045,31.405,31.8875,2095458
2015-06-10,32.0,32.335,31.94,32.23,1467291
2015-06-11,32.295,32.545,32.1175,32.17,1320081
2015-06-12,32.1875,32.1875,31.7775,31.8,1382279
2015-06-15,31.75,31.81,31.4275,31.725,1404227
2015-06-16,31.505,31.9625,31.505,31.8925,1167830
2015-06-17,31.9375,31.9825,31.685,31.75,1245206
2015-06-18,31.78,32.0775,31.7375,31.95,1334663
2015-06-19,32.0,32.0375,31.6,31.655,1813081
2015-06-22,31.845,32.015,31.77,31.9,1281518
2015-06-23,31.9325,31.955,31.7175,31.7375,1116075
2015-06-24,31.75,32.45,31.6575,32.105,2095382
2015-06-25,32.105,32.3,31.8625,31.875,1197197
2015-06-26,31.94,31.9975,31.6275,31.7,1448328
2015-06-29,31.125,31.6175,31.12,31.1925,3390631
2015-06-30,31.275,31.53,31.215,31.3475,1638744
2015-07-01,31.4975,31.7375,31.355,31.6125,1094198
2015-07-02,31.6975,31.735,31.4425,31.5975,1021695
2015-07-06,31.25,31.6,31.2125,31.5875,1039890
2015-07-07,31.61,31.7,30.9425,31.3625,1660058
2015-07-08,31.3175,31.3175,30.6275,30.665,2262496
2015-07-09,30.86,31.09,29.805,30.2625,2893525
2015-07-10,30.165,30.9625,30.165,30.825,2283998
2015-07-13,31.25,31.4575,30.825,31.4525,1381446
2015-07-14,31.49,31.5925,31.26,31.41,1186858
2015-07-15,31.5425,31.835,31.395,31.825,1246169
2015-07-16,31.8625,32.3125,31.8375,32.3,1214164
2015-07-17,32.2875,32.4625,32.0775,32.4425,1710093
2015-07-22,30.425,31.4375,30.28,31.425,4161905
2015-07-23,31.45,31.7725,31.265,31.3625,1862175
2015-07-24,31.3625,31.435,30.975,31.1325,1543881
2015-07-27,31.125,31.15,30.53,30.72,1624604
2015-07-28,30.8675,31.075,30.6375,30.8125,1258215
2015-07-29,30.9575,30.9725,30.5675,30.64,1274605
2015-07-30,30.675,30.7375,30.4275,30.575,1175815
2015-07-31,30.615,30.6975,30.2275,30.3525,1526921
2015-08-03,30.3475,30.6425,29.38,29.44,2579026
2015-08-04,29.375,29.5375,28.3125,28.45,4392836
2015-08-05,28.625,29.3775,28.025,28.925,3593889
2015-08-06,28.8875,29.125,28.5275,28.76,1955726
2015-08-07,28.7875,29.0625,28.625,28.8875,1425142
2015-08-10,28.9175,29.9975,28.9175,29.9225,2045827
2015-08-11,29.825,29.825,28.3325,28.465,3526491
2015-08-12,28.3075,28.9375,27.4075,28.925,3742906
2015-08-13,28.9,29.1,28.635,28.655,1800545
2015-08-14,28.7125,29.0775,28.5025,29.025,1568833
2015-08-17,29.0975,29.4125,28.875,29.3,1513138
2015-08-18,29.205,29.36,29.0025,29.145,1282082
2015-08-19,29.1225,29.1425,28.67,28.7025,1811213
2015-08-20,28.6775,28.6775,27.9075,28.0775,2546933
2015-08-21,28.0,28.015,26.41,26.475,4714232
2015-08-24,26.36,27.2,23.0,26.0625,5694415
2015-08-25,26.4575,27.7875,25.5375,25.545,3687923
2015-08-26,26.2625,27.5625,26.25,27.5625,3607012
2015-08-27,27.5825,28.31,27.505,28.245,3094080
2015-08-28,28.325,28.36,27.885,28.3425,1996469
2015-08-31,28.375,28.6325,27.975,28.0625,4185042
2015-09-01,27.8625,27.97,26.7875,27.1125,2797693
2015-09-02,27.0925,28.1925,27.0925,28.15,2216314
2015-09-03,28.1475,28.34,27.51,27.5875,1931966
2015-09-04,27.5025,27.6125,27.1275,27.2625,1798458
2015-09-08,27.97,28.165,27.58,28.1475,1992430
2015-09-09,28.1675,28.505,27.4425,27.4575,3080306
2015-09-10,27.7125,28.3225,27.4225,28.1075,2292601
2015-09-11,28.0,28.575,27.92,28.5725,1846245
2015-09-14,28.5725,29.3125,28.5725,28.83,2118400
2015-09-15,29.0,29.1325,28.605,29.095,1586717
2015-09-16,29.095,29.135,28.86,29.095,1372113
2015-09-17,29.05,29.1225,28.4275,28.525,2335027
2015-09-18,28.525,28.575,27.955,28.3625,2631010
2015-09-21,28.3725,28.875,28.3375,28.8375,1686633
2015-09-22,28.525,28.5725,28.13,28.275,1862434
2015-09-23,27.775,28.68,27.775,28.585,1332597
2015-09-24,28.5075,28.875,28.0925,28.87,1843837
2015-09-25,28.935,29.1725,28.505,28.685,2068034
2015-09-28,28.7425,28.7925,28.0875,28.195,1891094
2015-09-29,28.1075,28.3775,26.965,27.225,2700196
2015-09-30,27.5,27.885,27.1825,27.465,2440465
2015-10-01,27.5625,27.91,26.8275,27.4125,2245427
2015-10-02,27.4875,27.755,26.8875,27.585,2083924
2015-10-05,27.675,27.8425,27.2675,27.59,1892003
2015-10-06,27.585,27.935,27.44,27.645,1807970
2015-10-07,27.8325,28.0375,27.3525,27.7025,1734152
2015-10-08,27.5275,27.6725,27.0525,27.3525,2294282
2015-10-09,27.35,28.07,27.35,28.0,1918278
2015-10-12,28.03,28.2925,27.86,27.9125,1118692
2015-10-13,27.7625,28.1125,27.67,27.81,1196051
2015-10-14,27.9525,27.9525,27.39,27.6,1628481
2015-10-15,27.7125,28.025,27.6225,27.9875,1388226
2015-10-16,27.9775,28.0,27.6325,27.74,1421508
2015-10-19,27.7625,27.9375,27.5275,27.9025,1085762
2015-10-20,27.8675,28.5425,27.6875,28.385,1798050
2015-10-21,28.455,28.895,28.3575,28.435,1533523
2015-10-22,28.525,29.11,28.3875,29.1025,1529996
2015-10-23,29.0,29.8075,28.9575,29.7925,2182090
2015-10-26,29.755,29.755,28.73,28.8,2438066
2015-10-27,28.7975,29.5825,27.7025,28.79,2208783
